date	location
1591920000	Santa Cruz - Cowells
1592006400	Santa Cruz - Cowells
1592092800	Santa Cruz - Cowells
1592179200	Santa Cruz - Cowells
1592265600	Santa Cruz - Cowells
1592352000	Santa Cruz - Cowells
1592438400	Santa Cruz - Cowells
1592524800	Santa Cruz - Cowells
1592611200	Santa Cruz - Cowells
1592697600	Santa Cruz - Cowells
1592784000	Santa Cruz - Cowells
1592870400	Santa Cruz - Cowells
1592956800	Santa Cruz - Cowells
1593043200	Santa Cruz - Cowells
1593129600	Santa Cruz - Cowells
1593216000	Santa Cruz - Cowells
1593302400	Santa Cruz - Cowells
1593388800	Santa Cruz - Cowells
1593475200	Santa Cruz - Cowells
1593561600	Santa Cruz - Cowells
1593648000	Santa Cruz - Cowells
1593734400	Santa Cruz - Cowells
1593820800	Santa Cruz - Cowells
1593907200	Santa Cruz - Cowells
1593993600	Santa Cruz - Cowells
1594080000	Santa Cruz - Cowells
1594166400	Santa Cruz - Cowells
1594252800	Santa Cruz - Cowells
1594339200	Santa Cruz - Cowells
1594425600	Santa Cruz - Cowells
1594512000	Santa Cruz - Cowells
1594598400	Santa Cruz - Cowells
1594684800	Santa Cruz - Cowells
1594771200	Santa Cruz - Cowells
1594857600	Santa Cruz - Cowells
1594944000	Santa Cruz - Cowells
1595030400	Santa Cruz - Cowells
1595116800	Santa Cruz - Cowells
1595203200	Santa Cruz - Cowells
1595289600	Santa Cruz - Cowells
1595376000	Santa Cruz - Cowells
1595462400	Santa Cruz - Cowells
1595548800	Santa Cruz - Cowells
1595635200	Santa Cruz - Cowells
1595721600	Santa Cruz - Cowells
1595808000	Santa Cruz - Cowells
1595894400	Santa Cruz - Cowells
1595980800	Santa Cruz - Cowells
1596067200	Santa Cruz - Cowells
1596153600	Santa Cruz - Cowells
1596240000	Santa Cruz - Cowells
1596326400	Santa Cruz - Cowells
1596412800	Santa Cruz - Cowells
1596499200	Santa Cruz - Cowells
1596585600	Santa Cruz - Cowells
1596672000	Santa Cruz - Cowells
1596758400	Santa Cruz - Cowells
1596844800	SLO - Pismo
1596931200	SLO - Pismo
1597017600	San Diego - La Jolla
1597104000	San Diego - La Jolla
1597190400	San Diego - Cardiff
1597276800	Malibu - Broad Beach
1597363200	Malibu - Malibu
1597449600	Santa Cruz - Cowells
1597536000	Pleasure Point - 36th
1597622400	Pleasure Point - 36th
1597708800	Santa Cruz - Cowells
1597795200	Santa Cruz - Cowells
1597881600	Santa Cruz - Cowells
1597968000	Pleasure Point - 36th
1598054400	Santa Cruz - Cowells
1598140800	Santa Cruz - Cowells
1598227200	Santa Cruz - Cowells
1598313600	Santa Cruz - Cowells
1598400000	Santa Cruz - Cowells
1598486400	Santa Cruz - Cowells
1598572800	Santa Cruz - Cowells
1598659200	Santa Cruz - Cowells
1598745600	Santa Cruz - Cowells
1598832000	Santa Cruz - Cowells
1598918400	Santa Cruz - Cowells
1599004800	Santa Cruz - Cowells
1599091200	Santa Cruz - Cowells
1599177600	Santa Cruz - Cowells
1599264000	Santa Cruz - Cowells
1599350400	Pleasure Point - 36th
1599436800	Capitola - Breakwater
1599523200	Capitola - Breakwater
1599609600	Pleasure Point - Jacks
1599696000	Pleasure Point - Jacks
1599782400	Pleasure Point - Jacks
1599868800	Pleasure Point - Jacks
1599955200	Encinitas - Pipes
1600041600	Encinitas - Pipes
1600128000	Encinitas - Pipes
1600214400	Encinitas - Pipes
1600300800	Encinitas - Turtles
1600387200	San Onofre - San Onofre State Beach
1600473600	San Onofre - San Onofre State Beach
1600560000	San Onofre - San Onofre State Beach
1600646400	San Onofre - San Onofre State Beach
1600732800	Del Mar - Del Mar
1600819200	Encinitas - Pipes
1600905600	Encinitas - Pipes
1600992000	Encinitas - Pipes
1601078400	Pleasure Point - 36th
1601164800	Pleasure Point - 36th
1601251200	Pleasure Point - Jacks
1601337600	Pleasure Point - Jacks
1601424000	Santa Cruz - Cowells
1601510400	Pleasure Point - Jacks
1601596800	Pleasure Point - Jacks
1601683200	Pleasure Point - Jacks
1601769600	Pleasure Point - Jacks
1601856000	Pleasure Point - Jacks
1601942400	Pleasure Point - Jacks
1602028800	Pleasure Point - Jacks
1602115200	Pleasure Point - Jacks
1602201600	Pleasure Point - Jacks
1602288000	Pleasure Point - Jacks
1602374400	Encinitas - Pipes
1602460800	Encinitas - Pipes
1602547200	Encinitas - Pipes
1602633600	Encinitas - Pipes
1602720000	Encinitas - Pipes
1602806400	Encinitas - Pipes
1602892800	Encinitas - Pipes
1602979200	Encinitas - Pipes
1603065600	Del Mar - 15th
1603152000	Encinitas - Pipes
1603238400	Encinitas - Turtles
1603324800	Encinitas - Pipes
1603411200	Encinitas - Pipes
1603497600	Encinitas - Pipes
1603584000	Encinitas - Pipes
1603670400	Encinitas - Pipes
1603756800	Encinitas - Pipes
1603843200	Encinitas - Pipes
1603929600	Encinitas - Pipes
1604016000	Encinitas - Pipes
1604102400	Malibu - Malibu
1604188800	Pleasure Point - Jacks
1604275200	Pleasure Point - Jacks
1604361600	Santa Cruz - Cowells
1604448000	Santa Cruz - Cowells
1604534400	Pleasure Point - Jacks
1604620800	Pleasure Point - Jacks
1604707200	Pleasure Point - Jacks
1604793600	Pleasure Point - Jacks
1604880000	Pleasure Point - Jacks
1604966400	Pleasure Point - Jacks
1605052800	Pleasure Point - Jacks
1605139200	Pleasure Point - Jacks
1605225600	Santa Cruz - Cowells
1605312000	Santa Cruz - Cowells
1605398400	Santa Cruz - Cowells
1605484800	Santa Cruz - Cowells
1605571200	Pleasure Point - Jacks
1605657600	Santa Cruz - Cowells
1605744000	Pleasure Point - Jacks
1605830400	Pleasure Point - Jacks
1605916800	Pleasure Point - Jacks
1606003200	Pleasure Point - Jacks
1606089600	Pleasure Point - Privates
1606176000	Pleasure Point - Privates
1606262400	Santa Barbara - Campus Point
1606348800	San Onofre - San Onofre State Beach
1606435200	San Onofre - San Onofre State Beach
1606521600	San Onofre - Trails
1606608000	Dana Point - SaltCreek
1606694400	Santa Cruz - Cowells
1606780800	Santa Cruz - Cowells
1606867200	Santa Cruz - Cowells
1606953600	Santa Cruz - Cowells
1607040000	Santa Cruz - Cowells
1607126400	Santa Cruz - Cowells
1607212800	Pleasure Point - Jacks
1607299200	Pleasure Point - Jacks
1607385600	Santa Cruz - Cowells
1607472000	Santa Cruz - Cowells
1607558400	Santa Cruz - Cowells
1607644800	Santa Cruz - Cowells
1607731200	Santa Cruz - Cowells
1607817600	Santa Cruz - Cowells
1607904000	Santa Cruz - Cowells
1607990400	Santa Cruz - Cowells
1608076800	Santa Cruz - Cowells
1608163200	Santa Cruz - Cowells
1608249600	Santa Cruz - Cowells
1608336000	Pleasure Point - Privates
1608422400	Pleasure Point - Privates
1608508800	Pleasure Point - Jacks
1608595200	Pleasure Point - Jacks
1608681600	Santa Cruz - Cowells
1608768000	Pleasure Point - Jacks
1608854400	Santa Cruz - Cowells
1608940800	Santa Cruz - Cowells
1609027200	Santa Cruz - Cowells
1609113600	Santa Cruz - Cowells
1609200000	Santa Cruz - Cowells
1609286400	Santa Cruz - Cowells
1609372800	Santa Cruz - Cowells
1609459200	Santa Cruz - Cowells
1609545600	Santa Cruz - Cowells
1609632000	Santa Cruz - Cowells
1609718400	Santa Cruz - Cowells
1609804800	Santa Cruz - Cowells
1609891200	Santa Cruz - Cowells
1609977600	Santa Cruz - Cowells
1610064000	Santa Cruz - Cowells
1610150400	Santa Cruz - Cowells
1610236800	Santa Cruz - Cowells
1610323200	Santa Cruz - Cowells
1610409600	Santa Cruz - Cowells
1610496000	Santa Cruz - Cowells
1610582400	Santa Cruz - Cowells
1610668800	Santa Cruz - Cowells
1610755200	Santa Cruz - Cowells
1610841600	Santa Barbara - Campus Point
1610928000	Santa Barbara - Campus Point
1611014400	Santa Barbara - Campus Point
1611100800	Santa Barbara - Rincon
1611187200	Santa Barbara - Rincon
1611273600	Santa Barbara - Rincon
1611360000	Ventura - C-Street
1611446400	Santa Cruz - Cowells
1611532800	Santa Cruz - Cowells
1611619200	Pleasure Point - Jacks
1611705600	Santa Cruz - Cowells
1611792000	Santa Cruz - Cowells
1611878400	Santa Cruz - Cowells
1611964800	Pleasure Point - Sharks
1612051200	Santa Cruz - Cowells
1612137600	Pleasure Point - Jacks
1612224000	Pleasure Point - Sharks
1612310400	Pleasure Point - Jacks
1612396800	Santa Cruz - Cowells
1612483200	Capitola - Breakwater
1612569600	Pleasure Point - Jacks
1612656000	Pleasure Point - Jacks
1612742400	Santa Cruz - Cowells
1612828800	Pleasure Point - Jacks
1612915200	Capitola - Breakwater
1613001600	Santa Cruz - Cowells
